t,measurement,prob.mean,prob.sigma,prob.type,condition
2.1,2.07,D_K_aver,sigma_K,lognormal,U16p_61_low
2.4,1.75,D_K_aver,sigma_K,lognormal,U16p_61_low
6.1,2.40,D_K_aver,sigma_K,lognormal,U16p_61_low
6.5,1.55,D_K_aver,sigma_K,lognormal,U16p_61_low
24.2,1.37,D_K_aver,sigma_K,lognormal,U16p_61_low
24.7,1.55,D_K_aver,sigma_K,lognormal,U16p_61_low
48,1.34,D_K_aver,sigma_K,lognormal,U16p_61_low
48.0,1.53,D_K_aver,sigma_K,lognormal,U16p_61_low
48.5,1.50,D_K_aver,sigma_K,lognormal,U16p_61_low
2.1,4.23,D_L_aver,sigma_L,lognormal,U16p_61_low
2.4,4.94,D_L_aver,sigma_L,lognormal,U16p_61_low
6.1,7.11,D_L_aver,sigma_L,lognormal,U16p_61_low
6.5,6.65,D_L_aver,sigma_L,lognormal,U16p_61_low
24.2,8.69,D_L_aver,sigma_L,lognormal,U16p_61_low
24.7,7.33,D_L_aver,sigma_L,lognormal,U16p_61_low
48,10.7,D_L_aver,sigma_L,lognormal,U16p_61_low
48.0,10.2,D_L_aver,sigma_L,lognormal,U16p_61_low
48.5,8.43,D_L_aver,sigma_L,lognormal,U16p_61_low
2.1,36.1,D_P_aver,sigma_P,lognormal,U16p_61_low
2.4,37.6,D_P_aver,sigma_P,lognormal,U16p_61_low
6.1,31.3,D_P_aver,sigma_P,lognormal,U16p_61_low
6.5,28.2,D_P_aver,sigma_P,lognormal,U16p_61_low
24.2,7.98,D_P_aver,sigma_P,lognormal,U16p_61_low
24.7,9.19,D_P_aver,sigma_P,lognormal,U16p_61_low
48,0.956,D_P_aver,sigma_P,lognormal,U16p_61_low
48.0,1.06,D_P_aver,sigma_P,lognormal,U16p_61_low
48.5,0.923,D_P_aver,sigma_P,lognormal,U16p_61_low
2.1,7.00,D_S_aver,sigma_S,lognormal,U16p_61_low
2.4,2.65,D_S_aver,sigma_S,lognormal,U16p_61_low
6.1,4.01,D_S_aver,sigma_S,lognormal,U16p_61_low
6.5,5.32,D_S_aver,sigma_S,lognormal,U16p_61_low
24.2,8.99,D_S_aver,sigma_S,lognormal,U16p_61_low
48,8.25,D_S_aver,sigma_S,lognormal,U16p_61_low
48.0,8.55,D_S_aver,sigma_S,lognormal,U16p_61_low
48.5,8.95,D_S_aver,sigma_S,lognormal,U16p_61_low
2.1,0.483,D_T_aver,sigma_T,lognormal,U16p_61_low
2.4,0.734,D_T_aver,sigma_T,lognormal,U16p_61_low
6.1,1.43,D_T_aver,sigma_T,lognormal,U16p_61_low
6.5,1.33,D_T_aver,sigma_T,lognormal,U16p_61_low
24.2,1.37,D_T_aver,sigma_T,lognormal,U16p_61_low
24.7,1.48,D_T_aver,sigma_T,lognormal,U16p_61_low
48,1.84,D_T_aver,sigma_T,lognormal,U16p_61_low
48.0,2.23,D_T_aver,sigma_T,lognormal,U16p_61_low
48.5,1.31,D_T_aver,sigma_T,lognormal,U16p_61_low
2.1,2.94,D_U_aver,sigma_U,lognormal,U16p_61_low
2.4,3.57,D_U_aver,sigma_U,lognormal,U16p_61_low
6.1,2.29,D_U_aver,sigma_U,lognormal,U16p_61_low
6.5,1.42,D_U_aver,sigma_U,lognormal,U16p_61_low
24.2,2.09,D_U_aver,sigma_U,lognormal,U16p_61_low
24.7,0.925,D_U_aver,sigma_U,lognormal,U16p_61_low
48.5,0.991,D_U_aver,sigma_U,lognormal,U16p_61_low

2.0,5.56,D_K_aver,sigma_K,lognormal,U16p_61_middle
2.3,5.46,D_K_aver,sigma_K,lognormal,U16p_61_middle
6.0,3.97,D_K_aver,sigma_K,lognormal,U16p_61_middle
6,3.80,D_K_aver,sigma_K,lognormal,U16p_61_middle
24.2,4.50,D_K_aver,sigma_K,lognormal,U16p_61_middle
24.6,3.72,D_K_aver,sigma_K,lognormal,U16p_61_middle
48,4.31,D_K_aver,sigma_K,lognormal,U16p_61_middle
